2017-01-09 11:32:29 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : 5lcyqxzbxat4myt3ar02bsg2 ; 
2017-01-09 11:33:12 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : 5lcyqxzbxat4myt3ar02bsg2 ; 
2017-01-09 11:36:11 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : 5lcyqxzbxat4myt3ar02bsg2 ; 
2017-01-09 11:54:07 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : 5lcyqxzbxat4myt3ar02bsg2 ; 
2017-01-09 12:12:53 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : 5lcyqxzbxat4myt3ar02bsg2 ; 
2017-01-09 12:12:53 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : 5lcyqxzbxat4myt3ar02bsg2 ; 
2017-01-09 12:12:54 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : 5lcyqxzbxat4myt3ar02bsg2 ; 
2017-01-09 12:13:03 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : DOB Validation - Success ; SessionId : 5lcyqxzbxat4myt3ar02bsg2 ; 
2017-01-09 12:13:03 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : User NOT Registered For OTP ; SessionId : 5lcyqxzbxat4myt3ar02bsg2 ; 
2017-01-09 12:13:03 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 5lcyqxzbxat4myt3ar02bsg2 ; 
2017-01-09 12:13:09 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Success ; SessionId : 5lcyqxzbxat4myt3ar02bsg2 ; 
2017-01-09 12:13:09 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Register User in ART - Success ; SessionId : 5lcyqxzbxat4myt3ar02bsg2 ; 
