2017-09-07 02:38:43 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_QA ; TrStatus : Valid answer, now redirecting to Reset page ; SessionId : try35zgmgxxli4ezauh54g5b ; 
2017-09-07 02:38:43 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password ; TrStatus : Reset Password page load ; SessionId : try35zgmgxxli4ezauh54g5b ; 
2017-09-07 02:39:11 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password ; TrStatus : STARTED ; SessionId : try35zgmgxxli4ezauh54g5b ; 
2017-09-07 02:40:26 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password ; TrStatus : FAILURE ; SessionId : try35zgmgxxli4ezauh54g5b ; 
2017-09-07 02:40:35 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password ; TrStatus : Reset Password page load ; SessionId : try35zgmgxxli4ezauh54g5b ; 
2017-09-07 02:41:11 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : Submit - check user exist - entry ; SessionId : clnoomthqmyhs4q0pkemfck1 ; 
2017-09-07 02:41:11 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user exist - success ; SessionId : clnoomthqmyhs4q0pkemfck1 ; 
2017-09-07 02:41:11 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account is locked - entry ; SessionId : clnoomthqmyhs4q0pkemfck1 ; 
2017-09-07 02:41:11 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account is locked - failure ; SessionId : clnoomthqmyhs4q0pkemfck1 ; 
2017-09-07 02:41:11 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user registered - entry ; SessionId : clnoomthqmyhs4q0pkemfck1 ; 
2017-09-07 02:41:11 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user registered - success ; SessionId : clnoomthqmyhs4q0pkemfck1 ; 
2017-09-07 02:41:11 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account lock in ART tool - entry ; SessionId : clnoomthqmyhs4q0pkemfck1 ; 
2017-09-07 02:41:11 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account lock in ART tool - account is not locked ; SessionId : clnoomthqmyhs4q0pkemfck1 ; 
2017-09-07 02:41:11 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user OTP enabled - entry ; SessionId : clnoomthqmyhs4q0pkemfck1 ; 
2017-09-07 02:41:12 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user OTP enabled - OTP enabled - for both user and application level , now redirecting to ResetPasswordAuthType ; SessionId : clnoomthqmyhs4q0pkemfck1 ; 
2017-09-07 02:41:12 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_AuthType ; TrStatus : Page load ; SessionId : clnoomthqmyhs4q0pkemfck1 ; 
2017-09-07 02:41:14 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_AuthSecQue ; TrStatus : Page load , now redirecting to ResetPasswordQuestions ; SessionId : clnoomthqmyhs4q0pkemfck1 ; 
2017-09-07 02:41:15 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_QA ; TrStatus : Reset Password Questions page load ; SessionId : clnoomthqmyhs4q0pkemfck1 ; 
2017-09-07 02:41:19 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_QA ; TrStatus : Reset Password Questions submit ; SessionId : clnoomthqmyhs4q0pkemfck1 ; 
2017-09-07 02:41:19 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_QA ; TrStatus : Valid answer, now redirecting to Reset page ; SessionId : clnoomthqmyhs4q0pkemfck1 ; 
2017-09-07 02:41:19 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password ; TrStatus : Reset Password page load ; SessionId : clnoomthqmyhs4q0pkemfck1 ; 
2017-09-07 02:41:34 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password ; TrStatus : STARTED ; SessionId : clnoomthqmyhs4q0pkemfck1 ; 
2017-09-07 02:44:20 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password ; TrStatus : FAILURE ; SessionId : clnoomthqmyhs4q0pkemfck1 ; 
2017-09-07 02:44:20 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password ; TrStatus : Reset Password page load ; SessionId : clnoomthqmyhs4q0pkemfck1 ; 
2017-09-07 02:58:13 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : Submit - check user exist - entry ; SessionId : or0veeffd1fy0afxtuzsjnlt ; 
2017-09-07 02:58:13 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user exist - success ; SessionId : or0veeffd1fy0afxtuzsjnlt ; 
2017-09-07 02:58:13 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account is locked - entry ; SessionId : or0veeffd1fy0afxtuzsjnlt ; 
2017-09-07 02:58:13 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account is locked - failure ; SessionId : or0veeffd1fy0afxtuzsjnlt ; 
2017-09-07 02:58:13 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user registered - entry ; SessionId : or0veeffd1fy0afxtuzsjnlt ; 
