2017-09-11 01:51:31 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : User mobile number updated in AD ; SessionId : owl134qzkyzpbb2tv1n3rasx ; 
2017-09-11 01:51:34 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : owl134qzkyzpbb2tv1n3rasx ; 
2017-09-11 04:44:14 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : 5q3ymnlqx3hwr4au044pml01 ; 
2017-09-11 04:44:16 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : InValid login ; SessionId : 5q3ymnlqx3hwr4au044pml01 ; 
2017-09-11 04:44:16 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Account not locked ; SessionId : 5q3ymnlqx3hwr4au044pml01 ; 
2017-09-11 04:44:33 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : 5q3ymnlqx3hwr4au044pml01 ; 
2017-09-11 04:44:33 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : 5q3ymnlqx3hwr4au044pml01 ; 
2017-09-11 04:44:37 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : 5q3ymnlqx3hwr4au044pml01 ; 
2017-09-11 04:44:58 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : 5q3ymnlqx3hwr4au044pml01 ; 
2017-09-11 04:45:32 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : OTP sent , now redirecting to RegisterUserInformation ; SessionId : 5q3ymnlqx3hwr4au044pml01 ; 
2017-09-11 04:45:35 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : 5q3ymnlqx3hwr4au044pml01 ; 
2017-09-11 04:46:47 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Submit - Validate user otp ; SessionId : 5q3ymnlqx3hwr4au044pml01 ; 
