2017-11-06 10:13:31 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password ; TrStatus : SUCCESS ; SessionId : bway5z1jv1ls04tl133xqjc2 ; 
2017-11-06 10:13:32 => UserID : 34501 ; Message : Forgot_Password ; TrStatus : Create SUMMIT ITSM incident - START ; SessionId : bway5z1jv1ls04tl133xqjc2 ; 
2017-11-06 10:13:41 => UserID : 34501 ; Message : Forgot_Password ; TrStatus : Create SUMMIT ITSM incident - END ; SessionId : bway5z1jv1ls04tl133xqjc2 ; 
2017-11-06 10:13:41 => UserID : 34501 ; Message : Forgot_Password ; TrStatus : Resolved SUMMIT ITSM incident - START ; SessionId : bway5z1jv1ls04tl133xqjc2 ; 
2017-11-06 10:13:43 => UserID : 34501 ; Message : Forgot_Password ; TrStatus : Resolved SUMMIT ITSM incident - END ; SessionId : bway5z1jv1ls04tl133xqjc2 ; 
2017-11-06 10:13:43 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password ; TrStatus : Reset Password page load ; SessionId : bway5z1jv1ls04tl133xqjc2 ; 
2017-11-06 02:30:46 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : Submit - check user exist - entry ; SessionId : snqnvhqp3ho3snw4wo12fda2 ; 
2017-11-06 02:30:51 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user exist - success ; SessionId : snqnvhqp3ho3snw4wo12fda2 ; 
2017-11-06 02:30:51 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account is locked - entry ; SessionId : snqnvhqp3ho3snw4wo12fda2 ; 
2017-11-06 02:30:51 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account is locked - failure ; SessionId : snqnvhqp3ho3snw4wo12fda2 ; 
2017-11-06 02:30:51 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user registered - entry ; SessionId : snqnvhqp3ho3snw4wo12fda2 ; 
2017-11-06 02:30:51 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user registered - success ; SessionId : snqnvhqp3ho3snw4wo12fda2 ; 
2017-11-06 02:30:51 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account lock in ART tool - entry ; SessionId : snqnvhqp3ho3snw4wo12fda2 ; 
2017-11-06 02:30:51 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account lock in ART tool - account is not locked ; SessionId : snqnvhqp3ho3snw4wo12fda2 ; 
2017-11-06 02:30:51 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user OTP enabled - entry ; SessionId : snqnvhqp3ho3snw4wo12fda2 ; 
2017-11-06 02:30:51 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user OTP enabled - OTP enabled - for both user and application level , now redirecting to ResetPasswordAuthType ; SessionId : snqnvhqp3ho3snw4wo12fda2 ; 
2017-11-06 02:30:52 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_AuthType ; TrStatus : Page load ; SessionId : snqnvhqp3ho3snw4wo12fda2 ; 
2017-11-06 02:30:56 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_AuthSecQue ; TrStatus : Page load , now redirecting to ResetPasswordQuestions ; SessionId : snqnvhqp3ho3snw4wo12fda2 ; 
2017-11-06 02:30:56 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_QA ; TrStatus : Reset Password Questions page load ; SessionId : snqnvhqp3ho3snw4wo12fda2 ; 
2017-11-06 02:31:01 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_QA ; TrStatus : Reset Password Questions submit ; SessionId : snqnvhqp3ho3snw4wo12fda2 ; 
2017-11-06 02:31:01 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_QA ; TrStatus : Valid answer, now redirecting to Reset page ; SessionId : snqnvhqp3ho3snw4wo12fda2 ; 
