2017-09-13 10:10:04 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : du4sqon04sdacg2woju5j2pq ; 
2017-09-13 10:10:18 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : du4sqon04sdacg2woju5j2pq ; 
2017-09-13 10:11:03 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : du4sqon04sdacg2woju5j2pq ; 
2017-09-13 10:12:52 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : du4sqon04sdacg2woju5j2pq ; 
2017-09-13 10:13:03 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : du4sqon04sdacg2woju5j2pq ; 
2017-09-13 10:13:08 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : du4sqon04sdacg2woju5j2pq ; 
2017-09-13 10:14:24 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : du4sqon04sdacg2woju5j2pq ; 
2017-09-13 10:14:26 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : du4sqon04sdacg2woju5j2pq ; 
2017-09-13 10:14:28 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : du4sqon04sdacg2woju5j2pq ; 
2017-09-13 10:14:42 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : du4sqon04sdacg2woju5j2pq ; 
2017-09-13 10:14:43 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : du4sqon04sdacg2woju5j2pq ; 
2017-09-13 10:14:46 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : du4sqon04sdacg2woju5j2pq ; 
2017-09-13 10:14:48 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : du4sqon04sdacg2woju5j2pq ; 
2017-09-13 10:15:19 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : du4sqon04sdacg2woju5j2pq ; 
2017-09-13 10:16:37 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : du4sqon04sdacg2woju5j2pq ; 
2017-09-13 10:16:39 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : du4sqon04sdacg2woju5j2pq ; 
2017-09-13 10:16:44 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : du4sqon04sdacg2woju5j2pq ; 
2017-09-13 10:21:42 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 052sitlguoop0vinucoqdkwx ; 
2017-09-13 10:22:11 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 052sitlguoop0vinucoqdkwx ; 
2017-09-13 10:26:30 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 052sitlguoop0vinucoqdkwx ; 
2017-09-13 10:26:32 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 052sitlguoop0vinucoqdkwx ; 
2017-09-13 10:26:34 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 052sitlguoop0vinucoqdkwx ; 
2017-09-13 10:26:45 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 052sitlguoop0vinucoqdkwx ; 
2017-09-13 10:26:47 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 052sitlguoop0vinucoqdkwx ; 
2017-09-13 10:26:49 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 052sitlguoop0vinucoqdkwx ; 
2017-09-13 10:27:41 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 052sitlguoop0vinucoqdkwx ; 
2017-09-13 10:27:51 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 052sitlguoop0vinucoqdkwx ; 
2017-09-13 10:27:54 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 052sitlguoop0vinucoqdkwx ; 
2017-09-13 10:28:25 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 052sitlguoop0vinucoqdkwx ; 
2017-09-13 10:28:26 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 052sitlguoop0vinucoqdkwx ; 
2017-09-13 10:31:00 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 052sitlguoop0vinucoqdkwx ; 
2017-09-13 10:31:02 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 052sitlguoop0vinucoqdkwx ; 
2017-09-13 10:31:50 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 052sitlguoop0vinucoqdkwx ; 
2017-09-13 10:31:52 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 052sitlguoop0vinucoqdkwx ; 
2017-09-13 10:31:54 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 052sitlguoop0vinucoqdkwx ; 
2017-09-13 10:32:03 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 052sitlguoop0vinucoqdkwx ; 
2017-09-13 10:37:11 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 052sitlguoop0vinucoqdkwx ; 
