2017-10-03 03:31:52 => UserID : 38098 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account is locked - failure ; SessionId : gyldcpnquv3nj1bt00fiawfq ; 
2017-10-03 03:31:52 => UserID : 38098 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user registered - entry ; SessionId : gyldcpnquv3nj1bt00fiawfq ; 
2017-10-03 03:31:52 => UserID : 38098 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user registered - success ; SessionId : gyldcpnquv3nj1bt00fiawfq ; 
2017-10-03 03:31:52 => UserID : 38098 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account lock in ART tool - entry ; SessionId : gyldcpnquv3nj1bt00fiawfq ; 
2017-10-03 03:31:52 => UserID : 38098 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account lock in ART tool - account is not locked ; SessionId : gyldcpnquv3nj1bt00fiawfq ; 
2017-10-03 03:31:52 => UserID : 38098 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user OTP enabled - entry ; SessionId : gyldcpnquv3nj1bt00fiawfq ; 
2017-10-03 03:31:53 => UserID : 38098 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user OTP enabled - OTP enabled - for both user and application level , now redirecting to ResetPasswordAuthType ; SessionId : gyldcpnquv3nj1bt00fiawfq ; 
2017-10-03 03:31:53 => UserID : 38098 ; Message : ForgotPassword :: Forgot_Password_AuthType ; TrStatus : Page load ; SessionId : gyldcpnquv3nj1bt00fiawfq ; 
2017-10-03 03:31:56 => UserID : 38098 ; Message : ForgotPassword :: Forgot_Password_AuthSecQue ; TrStatus : Page load , now redirecting to ResetPasswordQuestions ; SessionId : gyldcpnquv3nj1bt00fiawfq ; 
2017-10-03 03:31:56 => UserID : 38098 ; Message : ForgotPassword :: Forgot_Password_QA ; TrStatus : Reset Password Questions page load ; SessionId : gyldcpnquv3nj1bt00fiawfq ; 
2017-10-03 03:32:07 => UserID : 38098 ; Message : ForgotPassword :: Forgot_Password_QA ; TrStatus : Reset Password Questions submit ; SessionId : gyldcpnquv3nj1bt00fiawfq ; 
2017-10-03 03:32:07 => UserID : 38098 ; Message : ForgotPassword :: Forgot_Password_QA ; TrStatus : Valid answer, now redirecting to Reset page ; SessionId : gyldcpnquv3nj1bt00fiawfq ; 
2017-10-03 03:32:08 => UserID : 38098 ; Message : ForgotPassword :: Forgot_Password ; TrStatus : Reset Password page load ; SessionId : gyldcpnquv3nj1bt00fiawfq ; 
2017-10-03 03:32:18 => UserID : 38098 ; Message : ForgotPassword :: Forgot_Password ; TrStatus : STARTED ; SessionId : gyldcpnquv3nj1bt00fiawfq ; 
2017-10-03 03:32:19 => UserID : 38098 ; Message : ForgotPassword :: Forgot_Password ; TrStatus : SUCCESS ; SessionId : gyldcpnquv3nj1bt00fiawfq ; 
2017-10-03 03:32:19 => UserID : 38098 ; Message : Forgot_Password ; TrStatus : Create SUMMIT ITSM incident - START ; SessionId : gyldcpnquv3nj1bt00fiawfq ; 
2017-10-03 03:32:22 => UserID : 38098 ; Message : Forgot_Password ; TrStatus : Create SUMMIT ITSM incident - END ; SessionId : gyldcpnquv3nj1bt00fiawfq ; 
