2017-04-27 12:11:26 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Create SNOW ITSM incident - END ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 12:13:16 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : User Existance - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 12:13:16 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : User Name / Password Validation - Failure ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 12:13:33 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : User Existance - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 12:13:33 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : User Name / Password Validation - Failure ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 12:14:18 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : User Existance - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 12:14:18 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : OTPValidation - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 12:14:19 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Change Password - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 12:14:20 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Create SNOW ITSM incident - START ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 12:16:01 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : User Existance - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 12:16:01 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : OTPValidation - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 12:16:02 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Change Password - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 12:16:04 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Create SNOW ITSM incident - START ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 12:16:44 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Create SNOW ITSM incident - END ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 12:39:25 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : User Existance - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 12:39:25 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : User Name / Password Validation - Failure ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 12:40:03 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : User Existance - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 12:40:03 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : OTPValidation - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 12:40:04 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Change Password - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 12:40:06 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Create SNOW ITSM incident - START ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 12:40:52 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Create SNOW ITSM incident - END ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 12:44:12 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : User Existance - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 12:44:13 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : OTPValidation - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 12:44:13 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Change Password - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 12:44:15 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Create SNOW ITSM incident - START ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 12:44:57 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Create SNOW ITSM incident - END ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 12:46:16 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : User Existance - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 12:46:16 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : OTPValidation - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 12:46:17 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Change Password - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 12:46:18 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Create SNOW ITSM incident - START ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 12:46:24 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Create SNOW ITSM incident - END ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 12:53:25 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : Submit - check user exist - entry ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 12:53:25 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user exist - success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 12:53:25 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account is locked - entry ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 12:53:26 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account is locked - failure ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 12:53:26 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user registered - entry ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 12:53:26 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user registered - failure ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 12:53:42 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 12:53:42 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : InValid login ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 12:53:43 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Account not locked ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 12:53:47 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 12:53:47 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 12:53:49 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 12:54:26 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Sending OTP - Failure ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 01:03:30 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : Submit - check user exist - entry ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 01:03:30 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user exist - success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 01:03:30 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account is locked - entry ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 01:03:30 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account is locked - failure ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 01:03:30 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user registered - entry ; SessionId : 12p0zjy22srthc2elqfj41do ; 
