2017-04-04 05:09:57 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : 0cvrsauhcxkxckpimbdcsi1t ; 
2017-04-04 05:09:58 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : 0cvrsauhcxkxckpimbdcsi1t ; 
2017-04-04 05:10:00 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : 0cvrsauhcxkxckpimbdcsi1t ; 
2017-04-04 05:10:41 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Sending OTP - Failure ; SessionId : 0cvrsauhcxkxckpimbdcsi1t ; 
2017-04-04 05:10:42 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : 0cvrsauhcxkxckpimbdcsi1t ; 
2017-04-04 05:11:54 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : 0cvrsauhcxkxckpimbdcsi1t ; 
2017-04-04 05:11:54 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : 0cvrsauhcxkxckpimbdcsi1t ; 
2017-04-04 05:11:56 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : 0cvrsauhcxkxckpimbdcsi1t ; 
2017-04-04 05:12:07 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : DOB Validation - Failure ; SessionId : 0cvrsauhcxkxckpimbdcsi1t ; 
2017-04-04 05:12:08 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : 0cvrsauhcxkxckpimbdcsi1t ; 
2017-04-04 05:12:31 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : 0cvrsauhcxkxckpimbdcsi1t ; 
2017-04-04 05:13:12 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Sending OTP - Failure ; SessionId : 0cvrsauhcxkxckpimbdcsi1t ; 
2017-04-04 05:13:13 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : 0cvrsauhcxkxckpimbdcsi1t ; 
2017-04-04 05:14:07 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : 0cvrsauhcxkxckpimbdcsi1t ; 
2017-04-04 05:15:08 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Sending OTP - Failure ; SessionId : 0cvrsauhcxkxckpimbdcsi1t ; 
2017-04-04 05:15:09 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : 0cvrsauhcxkxckpimbdcsi1t ; 
