2017-08-09 09:36:02 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password ; TrStatus : SUCCESS ; SessionId : jh1cuasil5hcbcqp1a3lndtv ; 
2017-08-09 09:36:03 => UserID : 34501 ; Message : Forgot_Password ; TrStatus : Create SUMMIT ITSM incident - START ; SessionId : jh1cuasil5hcbcqp1a3lndtv ; 
2017-08-09 09:36:04 => UserID : 34501 ; Message : Forgot_Password ; TrStatus : Create SUMMIT ITSM incident - END ; SessionId : jh1cuasil5hcbcqp1a3lndtv ; 
2017-08-09 09:36:04 => UserID : 34501 ; Message : Forgot_Password ; TrStatus : Resolved SUMMIT ITSM incident - START ; SessionId : jh1cuasil5hcbcqp1a3lndtv ; 
2017-08-09 09:36:04 => UserID : 34501 ; Message : Forgot_Password ; TrStatus : Resolved SUMMIT ITSM incident - END ; SessionId : jh1cuasil5hcbcqp1a3lndtv ; 
2017-08-09 09:36:07 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password ; TrStatus : Reset Password page load ; SessionId : jh1cuasil5hcbcqp1a3lndtv ; 
2017-08-09 09:36:36 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : Submit - check user exist - entry ; SessionId : o4ry51janzmrzbworbb3bltl ; 
2017-08-09 09:36:36 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user exist - success ; SessionId : o4ry51janzmrzbworbb3bltl ; 
2017-08-09 09:36:36 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account is locked - entry ; SessionId : o4ry51janzmrzbworbb3bltl ; 
2017-08-09 09:36:36 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account is locked - failure ; SessionId : o4ry51janzmrzbworbb3bltl ; 
2017-08-09 09:36:36 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user registered - entry ; SessionId : o4ry51janzmrzbworbb3bltl ; 
2017-08-09 09:36:36 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user registered - success ; SessionId : o4ry51janzmrzbworbb3bltl ; 
2017-08-09 09:36:36 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account lock in ART tool - entry ; SessionId : o4ry51janzmrzbworbb3bltl ; 
