2017-07-31 10:27:21 => UserID : 34501 ; Message : Forgot_Password ; TrStatus : Create SUMMIT ITSM incident - START ; SessionId : f51r5yctpqol1d2btzc0min2 ; 
2017-07-31 10:27:23 => UserID : 34501 ; Message : Forgot_Password ; TrStatus : Create SUMMIT ITSM incident - END ; SessionId : f51r5yctpqol1d2btzc0min2 ; 
2017-07-31 10:27:23 => UserID : 34501 ; Message : Forgot_Password ; TrStatus : Resolved SUMMIT ITSM incident - START ; SessionId : f51r5yctpqol1d2btzc0min2 ; 
2017-07-31 10:27:23 => UserID : 34501 ; Message : Forgot_Password ; TrStatus : Resolved SUMMIT ITSM incident - END ; SessionId : f51r5yctpqol1d2btzc0min2 ; 
2017-07-31 10:27:23 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password ; TrStatus : Reset Password page load ; SessionId : f51r5yctpqol1d2btzc0min2 ; 
2017-07-31 10:28:16 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : Submit - check user exist - entry ; SessionId : 4apmctav3o14i03cxznhu5qo ; 
2017-07-31 10:28:16 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user exist - success ; SessionId : 4apmctav3o14i03cxznhu5qo ; 
2017-07-31 10:28:16 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account is locked - entry ; SessionId : 4apmctav3o14i03cxznhu5qo ; 
2017-07-31 10:28:16 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account is locked - failure ; SessionId : 4apmctav3o14i03cxznhu5qo ; 
2017-07-31 10:28:16 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user registered - entry ; SessionId : 4apmctav3o14i03cxznhu5qo ; 
2017-07-31 10:28:16 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user registered - success ; SessionId : 4apmctav3o14i03cxznhu5qo ; 
2017-07-31 10:28:16 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account lock in ART tool - entry ; SessionId : 4apmctav3o14i03cxznhu5qo ; 
2017-07-31 10:28:16 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account lock in ART tool - account is not locked ; SessionId : 4apmctav3o14i03cxznhu5qo ; 
2017-07-31 10:28:16 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user OTP enabled - entry ; SessionId : 4apmctav3o14i03cxznhu5qo ; 
2017-07-31 10:28:16 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user OTP enabled - OTP enabled - for both user and application level , now redirecting to ResetPasswordAuthType ; SessionId : 4apmctav3o14i03cxznhu5qo ; 
2017-07-31 10:28:16 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_AuthType ; TrStatus : Page load ; SessionId : 4apmctav3o14i03cxznhu5qo ; 
2017-07-31 10:28:42 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_AuthSecQue ; TrStatus : Page load , now redirecting to ResetPasswordQuestions ; SessionId : 4apmctav3o14i03cxznhu5qo ; 
2017-07-31 10:28:43 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_QA ; TrStatus : Reset Password Questions page load ; SessionId : 4apmctav3o14i03cxznhu5qo ; 
2017-07-31 10:28:48 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_QA ; TrStatus : Reset Password Questions submit ; SessionId : 4apmctav3o14i03cxznhu5qo ; 
