2017-01-06 03:57:19 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : hrvutlagsf2edjl3sti4f05e ; 
2017-01-06 03:58:37 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : hrvutlagsf2edjl3sti4f05e ; 
2017-01-06 03:58:37 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : hrvutlagsf2edjl3sti4f05e ; 
2017-01-06 03:58:38 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : hrvutlagsf2edjl3sti4f05e ; 
2017-01-06 03:58:56 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : hrvutlagsf2edjl3sti4f05e ; 
2017-01-06 04:00:40 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : hrvutlagsf2edjl3sti4f05e ; 
2017-01-06 04:01:00 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : hrvutlagsf2edjl3sti4f05e ; 
2017-01-06 04:01:01 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : hrvutlagsf2edjl3sti4f05e ; 
2017-01-06 04:01:25 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : OTP sent , now redirecting to RegisterUserInformation ; SessionId : hrvutlagsf2edjl3sti4f05e ; 
2017-01-06 04:01:25 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : hrvutlagsf2edjl3sti4f05e ; 
2017-01-06 04:01:50 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Submit - Validate user otp ; SessionId : hrvutlagsf2edjl3sti4f05e ; 
2017-01-06 04:01:50 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : valid OTP, now redirecting to reset password ; SessionId : hrvutlagsf2edjl3sti4f05e ; 
2017-01-06 04:01:50 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : User mobile number updated in AD ; SessionId : hrvutlagsf2edjl3sti4f05e ; 
2017-01-06 04:01:50 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : hrvutlagsf2edjl3sti4f05e ; 
2017-01-06 04:02:07 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : DOB Validation - Success ; SessionId : hrvutlagsf2edjl3sti4f05e ; 
2017-01-06 04:02:07 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : hrvutlagsf2edjl3sti4f05e ; 
2017-01-06 04:08:10 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : User Existance - Success ; SessionId : hrvutlagsf2edjl3sti4f05e ; 
2017-01-06 04:08:10 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : OTPValidation - Success ; SessionId : hrvutlagsf2edjl3sti4f05e ; 
