2017-09-18 06:02:49 => UserID : 34243 ; Message : UserEnroll :: Register ; TrStatus : Success ; SessionId : ymdayh05gcu3tbbyshhagbz3 ; 
2017-09-18 06:02:49 => UserID : 34243 ; Message : UserEnroll :: Register ; TrStatus : Enrollment Link Status Updated Successfully ; SessionId : ymdayh05gcu3tbbyshhagbz3 ; 
2017-09-18 06:02:49 => UserID : 34243 ; Message : UserEnroll :: Register ; TrStatus : Register User in ART - Success ; SessionId : ymdayh05gcu3tbbyshhagbz3 ; 
2017-09-18 06:02:51 => UserID : 34243 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : ymdayh05gcu3tbbyshhagbz3 ; 
2017-09-18 06:06:44 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 3o2jmqevqbkdiuprszfgidve ; 
2017-09-18 06:06:59 => UserID : 34243 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 3o2jmqevqbkdiuprszfgidve ; 
2017-09-18 06:08:09 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : l452tmkwubuoxe3ztif5yhb1 ; 
2017-09-18 06:08:32 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : l452tmkwubuoxe3ztif5yhb1 ; 
2017-09-18 06:11:22 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : l452tmkwubuoxe3ztif5yhb1 ; 
2017-09-18 06:11:25 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : l452tmkwubuoxe3ztif5yhb1 ; 
2017-09-18 06:11:44 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : l452tmkwubuoxe3ztif5yhb1 ; 
2017-09-18 06:12:00 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : l452tmkwubuoxe3ztif5yhb1 ; 
2017-09-18 06:12:04 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : l452tmkwubuoxe3ztif5yhb1 ; 
2017-09-18 06:12:15 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : l452tmkwubuoxe3ztif5yhb1 ; 
2017-09-18 06:49:28 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : v4djvp2wc5d1b0yc0ixzt01h ; 
2017-09-18 07:04:15 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : v4djvp2wc5d1b0yc0ixzt01h ; 
2017-09-18 07:04:18 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : v4djvp2wc5d1b0yc0ixzt01h ; 
2017-09-18 07:05:28 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : v4djvp2wc5d1b0yc0ixzt01h ; 
2017-09-18 07:06:09 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : v4djvp2wc5d1b0yc0ixzt01h ; 
