2017-09-12 11:17:17 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : DOB Validation - Failure ; SessionId : zf1en4pe4omlevmyhbuvspkv ; 
2017-09-12 11:17:18 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : zf1en4pe4omlevmyhbuvspkv ; 
2017-09-12 11:17:52 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : DOB Validation - Success ; SessionId : zf1en4pe4omlevmyhbuvspkv ; 
2017-09-12 11:17:58 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : zf1en4pe4omlevmyhbuvspkv ; 
2017-09-12 11:19:32 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : zf1en4pe4omlevmyhbuvspkv ; 
2017-09-12 11:19:47 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : zf1en4pe4omlevmyhbuvspkv ; 
2017-09-12 11:19:53 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : zf1en4pe4omlevmyhbuvspkv ; 
2017-09-12 11:21:38 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : zf1en4pe4omlevmyhbuvspkv ; 
2017-09-12 11:21:52 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : zf1en4pe4omlevmyhbuvspkv ; 
2017-09-12 11:23:57 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : zf1en4pe4omlevmyhbuvspkv ; 
2017-09-12 11:24:29 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : zf1en4pe4omlevmyhbuvspkv ; 
2017-09-12 11:25:03 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : zf1en4pe4omlevmyhbuvspkv ; 
2017-09-12 11:25:36 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : zf1en4pe4omlevmyhbuvspkv ; 
2017-09-12 11:26:55 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : zf1en4pe4omlevmyhbuvspkv ; 
2017-09-12 11:27:08 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : zf1en4pe4omlevmyhbuvspkv ; 
2017-09-12 11:27:21 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : zf1en4pe4omlevmyhbuvspkv ; 
2017-09-12 11:27:49 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : zf1en4pe4omlevmyhbuvspkv ; 
2017-09-12 02:23:52 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : zf1en4pe4omlevmyhbuvspkv ; 
2017-09-12 02:37:59 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : zf1en4pe4omlevmyhbuvspkv ; 
2017-09-12 03:47:02 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : zwfghuxtlg3evrpjuwffs4sg ; 
2017-09-12 03:48:15 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : zwfghuxtlg3evrpjuwffs4sg ; 
2017-09-12 03:49:30 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : zwfghuxtlg3evrpjuwffs4sg ; 
2017-09-12 03:49:42 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : zwfghuxtlg3evrpjuwffs4sg ; 
2017-09-12 03:49:59 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : zwfghuxtlg3evrpjuwffs4sg ; 
