2017-09-08 10:10:09 => UserID : 34678 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user exist - success ; SessionId : c4kguxiqei4je0zyvzyvkmx2 ; 
2017-09-08 10:10:09 => UserID : 34678 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account is locked - entry ; SessionId : c4kguxiqei4je0zyvzyvkmx2 ; 
2017-09-08 10:10:09 => UserID : 34678 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account is locked - failure ; SessionId : c4kguxiqei4je0zyvzyvkmx2 ; 
2017-09-08 10:10:09 => UserID : 34678 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user registered - entry ; SessionId : c4kguxiqei4je0zyvzyvkmx2 ; 
2017-09-08 10:10:09 => UserID : 34678 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user registered - failure ; SessionId : c4kguxiqei4je0zyvzyvkmx2 ; 
2017-09-08 10:14:49 => UserID : 34768 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : Submit - check user exist - entry ; SessionId : c4kguxiqei4je0zyvzyvkmx2 ; 
2017-09-08 10:14:59 => UserID : 34768 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user exist - success ; SessionId : c4kguxiqei4je0zyvzyvkmx2 ; 
2017-09-08 10:15:00 => UserID : 34768 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account is locked - entry ; SessionId : c4kguxiqei4je0zyvzyvkmx2 ; 
2017-09-08 10:15:08 => UserID : 34768 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account is locked - failure ; SessionId : c4kguxiqei4je0zyvzyvkmx2 ; 
2017-09-08 10:15:09 => UserID : 34768 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user registered - entry ; SessionId : c4kguxiqei4je0zyvzyvkmx2 ; 
2017-09-08 12:30:57 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : 3rcxwqecf02j4d0bb5kotehh ; 
2017-09-08 12:30:57 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : 3rcxwqecf02j4d0bb5kotehh ; 
2017-09-08 12:30:59 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : 3rcxwqecf02j4d0bb5kotehh ; 
2017-09-08 12:35:53 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : yxubgv0zcofvrg5wosbsxi5k ; 
2017-09-08 12:36:15 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : yxubgv0zcofvrg5wosbsxi5k ; 
2017-09-08 12:36:33 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : yxubgv0zcofvrg5wosbsxi5k ; 
2017-09-08 02:00:27 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : yxubgv0zcofvrg5wosbsxi5k ; 
2017-09-08 02:20:43 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : yxubgv0zcofvrg5wosbsxi5k ; 
2017-09-08 02:20:43 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : yxubgv0zcofvrg5wosbsxi5k ; 
2017-09-08 02:20:48 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : yxubgv0zcofvrg5wosbsxi5k ; 
2017-09-08 02:34:39 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : yxubgv0zcofvrg5wosbsxi5k ; 
2017-09-08 02:34:44 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : yxubgv0zcofvrg5wosbsxi5k ; 
2017-09-08 02:34:58 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : yxubgv0zcofvrg5wosbsxi5k ; 
