2017-09-14 12:46:32 => UserID : 24690 ; Message : UserEnroll :: Register ; TrStatus : Success ; SessionId : swt5qvlxogms3lvyols5revd ; 
2017-09-14 12:46:32 => UserID : 24690 ; Message : UserEnroll :: Register ; TrStatus : Register User in ART - Success ; SessionId : swt5qvlxogms3lvyols5revd ; 
2017-09-14 12:46:33 => UserID : 24690 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : swt5qvlxogms3lvyols5revd ; 
2017-09-14 12:47:11 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 1xekq3iz3clvcpnewdfvy5fp ; 
2017-09-14 12:47:16 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 1xekq3iz3clvcpnewdfvy5fp ; 
2017-09-14 02:05:19 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 1xekq3iz3clvcpnewdfvy5fp ; 
2017-09-14 02:05:36 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 1xekq3iz3clvcpnewdfvy5fp ; 
2017-09-14 02:38:40 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 1xekq3iz3clvcpnewdfvy5fp ; 
2017-09-14 02:46:34 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 1xekq3iz3clvcpnewdfvy5fp ; 
2017-09-14 02:49:07 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 1xekq3iz3clvcpnewdfvy5fp ; 
2017-09-14 02:52:36 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : fvpa0opv4wbeuxeiakhzch2i ; 
2017-09-14 02:53:18 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : fvpa0opv4wbeuxeiakhzch2i ; 
2017-09-14 02:54:02 => UserID : 22690 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : fvpa0opv4wbeuxeiakhzch2i ; 
2017-09-14 02:55:44 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : og4iky2ul50t0yerrmndacvf ; 
